method,method_family,budget_label,n,token_f1,token_f1_ci_low,token_f1_ci_high,rouge_l,rouge_l_ci_low,rouge_l_ci_high,exact_match,exact_match_ci_low,exact_match_ci_high,date_f1,date_f1_ci_low,date_f1_ci_high,number_f1,number_f1_ci_low,number_f1_ci_high,entity_f1,entity_f1_ci_low,entity_f1_ci_high,llm_judge_score,llm_judge_score_ci_low,llm_judge_score_ci_high,evidence_recall,evidence_recall_ci_low,evidence_recall_ci_high,evidence_session_recall,evidence_session_recall_ci_low,evidence_session_recall_ci_high,answerable_context_rate,answerable_context_rate_ci_low,answerable_context_rate_ci_high,perplexity,perplexity_ci_low,perplexity_ci_high,latency,latency_ci_low,latency_ci_high
bm25,real_method,1024,32,0.08198408390740311,0.04297183109236923,0.1316618803096514,0.13268125124574845,0.07925705045342833,0.19323943903071347,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.09583333333333333,0.02078125,0.18958333333333333,0.5,0.3387096774193548,0.6616935483870964,0.31436011904761907,0.16961495535714285,0.4765625,0.6739583333333333,0.5333333333333333,0.8125,0.125,0.03125,0.25,13042570.169258744,978959.3107918095,32181720.329613425,0.601803125,0.509007578125,0.706201796875
bm25,real_method,128,32,0.038341540462979745,0.018111746706012073,0.06444338222753702,0.06919622855904715,0.030668140260227027,0.11199350778063766,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.1875,0.07291666666666666,0.0,0.16666666666666666,0.22580645161290322,0.0963709677419355,0.3709677419354839,0.09821428571428571,0.004464285714285714,0.21875,0.39427083333333335,0.23951822916666665,0.5520833333333333,0.03125,0.0,0.09375,348070825.15411,10703436.90420097,970537103.4817096,0.39932812500000003,0.33386687499999995,0.470475078125
bm25,real_method,2048,32,0.08064831800607336,0.03909557738787162,0.13056981325967743,0.13771814436018903,0.08581803090141402,0.196041046287883,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.12767857142857142,0.050595238095238096,0.22604166666666664,0.532258064516129,0.3548387096774194,0.6935483870967742,0.36227678571428573,0.21404575892857144,0.5229185267857143,0.721875,0.5707552083333333,0.8625,0.1875,0.0625,0.34375,7504560.456325945,619560.7360592572,20201119.429221835,0.7750812499999999,0.644864375,0.923251875
bm25,real_method,256,32,0.04947736945019554,0.027352053140096623,0.07811666091557398,0.09510968171853722,0.0556777355210859,0.1380547514213195,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.3125,0.08854166666666666,0.020833333333333332,0.18749999999999997,0.3225806451612903,0.16129032258064516,0.4838709677419355,0.1607142857142857,0.0625,0.2947544642857141,0.44218749999999996,0.2827994791666667,0.6094140625,0.03125,0.0,0.09375,16015258.391520705,1079842.5498298542,45001766.73177223,0.41341874999999995,0.351748984375,0.4762164843749999
bm25,real_method,4096,32,0.07715171711047822,0.03866218052972413,0.12782771156686928,0.1464258557780141,0.09048899351885352,0.20643038968766741,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.11934523809523809,0.04582217261904762,0.21265997023809521,0.5,0.3548387096774194,0.6451612903225806,0.40133928571428573,0.2536439732142857,0.5680394345238095,0.8739583333333333,0.7552083333333333,0.9688281249999999,0.1875,0.0625,0.34375,42880046.13031942,2973940.592335858,111191651.14507838,0.8927968749999999,0.7588796875,1.052365
bm25,real_method,512,32,0.06925751859115829,0.03486383580420805,0.11504586523141211,0.12659494164480345,0.08131486632228188,0.18027102410689416,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.06770833333333333,0.0,0.140625,0.43548387096774194,0.27419354838709675,0.6129032258064516,0.2726934523809524,0.140625,0.4289620535714286,0.5489583333333333,0.4,0.7041927083333333,0.09375,0.0,0.1875,5880369.983566664,403867.2829671711,15497067.62236231,0.516965625,0.41887031250000006,0.6234254687499999
bm25,real_method,64,32,0.03600270236299648,0.013009344362745097,0.06986443014705883,0.05000707337150667,0.021485951264563794,0.08851249140006878,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.13333333333333336,0.03645833333333333,0.0,0.09908854166666654,0.125,0.03125,0.25,0.06696428571428571,0.0,0.16517857142857142,0.26666666666666666,0.13125,0.41671874999999997,0.03125,0.0,0.09375,98972106.4515425,22170135.472039662,205558633.14624125,0.421565625,0.375233046875,0.47687828125
bm25,real_method,None,32,0.08207880893270633,0.04254377812367116,0.1294969211959827,0.14775282411107535,0.09068610747826888,0.20852087683884146,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.11726190476190476,0.04538690476190476,0.2095349702380952,0.5,0.3387096774193548,0.6612903225806451,0.42477678571428573,0.2769549851190476,0.5856324404761903,0.9114583333333333,0.796875,1.0,0.1875,0.0625,0.34375,676658110.5507578,13023178.893426986,1978887621.2783468,1.073096875,0.8909794531249999,1.28320578125
bm25_window,real_method,1024,32,0.12043658183603836,0.07145408584471086,0.17977875521217912,0.19621335605317297,0.1315481811861603,0.2678677474596024,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.3125,0.14100378787878787,0.056216856060606064,0.24376183712121208,0.5645161290322581,0.4032258064516129,0.7258064516129032,0.4503720238095238,0.2972470238095238,0.6057607886904761,0.7208333333333333,0.5831770833333333,0.8583333333333334,0.25,0.09375,0.40625,76130979.70020841,557797.1567109195,217285944.5471418,0.473775,0.40740578124999993,0.54619546875
bm25_window,real_method,128,32,0.024800857843137254,0.009189644607843137,0.04467333026960783,0.046660539215686275,0.015915670955882356,0.0873062193627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07291666666666666,0.0,0.16666666666666666,0.11290322580645161,0.016129032258064516,0.22580645161290322,0.08549107142857143,0.0140625,0.18445312499999994,0.5479166666666666,0.39057291666666666,0.7083333333333334,0.03125,0.0,0.09375,15315223210.915503,25320658.849347897,45820193884.247215,0.398490625,0.33878664062499997,0.4641946875
bm25_window,real_method,2048,32,0.09759462461075363,0.04926373106060606,0.1496033983004749,0.15350616327311467,0.09198895696690555,0.21970596759893038,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.13749999999999998,0.05513020833333333,0.240625,0.46774193548387094,0.2903225806451613,0.6290322580645161,0.49203869047619053,0.33854166666666663,0.6458854166666665,0.7583333333333333,0.6145833333333333,0.8854166666666666,0.25,0.09375,0.40625,162054692.57873425,1358421.236601092,471487033.1858492,0.594709375,0.525266328125,0.6856599218749999
bm25_window,real_method,256,32,0.02997600524690308,0.011101973684210528,0.055114849836695796,0.06952803399820714,0.03021561037249041,0.1173619916816593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.10416666666666666,0.21875,0.0625,0.375,0.1349702380952381,0.04389880952380952,0.25004464285714284,0.5697916666666667,0.41132812499999993,0.72921875,0.03125,0.0,0.09375,97778407.69196731,12467374.085481536,218347746.17454374,0.42294999999999994,0.346209453125,0.5369190625
bm25_window,real_method,4096,32,0.10596121647074559,0.059302564716931835,0.15970076756374327,0.15729654217564953,0.10262441104388426,0.22211567435159796,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.1456730769230769,0.06145833333333334,0.24584334935897437,0.5483870967741935,0.3870967741935484,0.7096774193548387,0.5337053571428572,0.37726748511904756,0.6931231398809524,0.8322916666666667,0.7124479166666667,0.9375520833333333,0.25,0.09375,0.40625,86220222.53166702,7587689.93271822,231846119.61412707,0.91939375,0.7986039843749999,1.056303359375
bm25_window,real_method,512,32,0.09348593446235622,0.046173927545155986,0.15357577223673063,0.12951686435513055,0.07417402971047933,0.19247868777965205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09791666666666665,0.025,0.1854427083333333,0.375,0.21875,0.53125,0.3235119047619048,0.1793117559523809,0.4760937499999999,0.5947916666666666,0.43742187499999996,0.7604166666666666,0.15625,0.03125,0.28125,860454673.1712304,13323404.682236817,2529464862.1155534,0.447928125,0.360535703125,0.5753792187500001
bm25_window,real_method,64,32,0.024958560107500055,0.010335842225609756,0.0449847443202493,0.03644877145330663,0.016892299671385242,0.06075792355617677,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.13333333333333336,0.06392045454545454,0.0,0.15767045454545453,0.09375,0.0,0.21875,0.03571428571428571,0.0,0.10279017857142847,0.5479166666666666,0.39057291666666666,0.7083333333333334,0.0,0.0,0.0,240663270.39121974,19646674.63780251,569486674.9352032,0.447325,0.39035609375,0.5130978125
bm25_window,real_method,None,32,0.09219846183499228,0.046067971942185905,0.14823858116753055,0.14425305431723548,0.08861384368458121,0.20812226858077923,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.3888888888888889,0.10052083333333334,0.03125,0.18385416666666665,0.609375,0.453125,0.765625,0.5829613095238095,0.4288969494047619,0.7388392857142857,0.921875,0.8125,1.0,0.25,0.09375,0.40625,155303575.855085,19960105.033590157,372685652.28060085,2.16820625,1.9588178906250002,2.4256505468749996
dense_retrieval,real_method,1024,32,0.08306944973757736,0.04100090532276279,0.13692535564599026,0.13840876386984458,0.0834320961779982,0.19743592116947378,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.12083333333333332,0.04778645833333334,0.20940104166666662,0.5806451612903226,0.4032258064516129,0.7419354838709677,0.3779017857142857,0.2317596726190476,0.5323121279761904,0.5973958333333333,0.4426953125,0.734375,0.1875,0.0625,0.3125,1338826405.8393967,1108427.1443107016,4005345911.168527,0.618971875,0.48877203125,0.7795928906249999
dense_retrieval,real_method,128,32,0.07164194862236321,0.023591359654039485,0.1520968308261086,0.09265668484091139,0.03654952066684676,0.17052774093708947,0.03125,0.0,0.09375,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.11770833333333333,0.03125,0.2323697916666666,0.22580645161290322,0.0967741935483871,0.3709677419354839,0.203125,0.078125,0.359375,0.30208333333333337,0.14583333333333334,0.4585937499999998,0.0625,0.0,0.15625,1222127406.802596,15957962.138493937,3434445887.0984483,0.447815625,0.385308203125,0.5210195312499999
dense_retrieval,real_method,2048,32,0.09006387171659037,0.04687800790862903,0.14356277069454917,0.1347190958791429,0.08466847844178464,0.1891942508484273,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.12142857142857141,0.04761904761904762,0.20908482142857143,0.5806451612903226,0.43548387096774194,0.7419354838709677,0.4789434523809523,0.32840959821428567,0.6372953869047618,0.803125,0.66875,0.9125,0.1875,0.0625,0.3125,8122994.908837279,1498362.0998199661,18677984.75526288,0.71716875,0.590158828125,0.851734921875
dense_retrieval,real_method,256,32,0.05945407548584288,0.026193795481479307,0.10347199066226692,0.1103733463638587,0.05941476889556376,0.16651244278530283,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.1328125,0.0416015625,0.24218749999999997,0.41935483870967744,0.25806451612903225,0.5967741935483871,0.265625,0.13541666666666666,0.41666666666666663,0.45572916666666663,0.2890625,0.6145833333333333,0.0625,0.0,0.15625,978158726.5856122,1663644.7045683714,2892725719.633792,0.83783125,0.6188814062499999,1.075133671875
dense_retrieval,real_method,4096,32,0.09232017315635702,0.05198414332139912,0.14237424784275854,0.15006190467229408,0.09186114405944713,0.20960443393150874,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.16666666666666666,0.09254807692307691,0.03004807692307692,0.1695012019230769,0.625,0.484375,0.78125,0.544345238095238,0.3944177827380952,0.6901339285714285,0.9265625,0.8358984375,0.9921875,0.1875,0.0625,0.3125,69020297.61471234,1939115.2058543898,184685290.94219998,0.9417,0.8010300781249999,1.1062657812499996
dense_retrieval,real_method,512,32,0.08609722905540573,0.04096455195415486,0.1441084447155288,0.13249329402530624,0.07518683862433863,0.19282427079540268,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.3125,0.11979166666666666,0.03125,0.22395833333333331,0.46774193548387094,0.30604838709677423,0.6290322580645161,0.3359375,0.19270833333333331,0.49479166666666663,0.48177083333333337,0.3125,0.6354817708333332,0.09375,0.0,0.21875,503876867.55566025,1103126.4901930986,1501085861.9393997,0.47259375000000003,0.400543984375,0.55640515625
dense_retrieval,real_method,64,32,0.02123390858152855,0.00891155091038992,0.03705614248770449,0.030439866183867733,0.012837443935063905,0.05260202983935568,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.13333333333333336,0.0625,0.0,0.15625,0.0625,0.0,0.1570312499999993,0.03125,0.0,0.09375,0.21875,0.09375,0.375,0.0,0.0,0.0,252479645.26146546,31655311.09034816,631084390.4877074,0.40716562500000003,0.35409999999999997,0.47462992187499997
dense_retrieval,real_method,None,32,0.09839056175838407,0.05796459308231909,0.14769422888602188,0.14042572078420354,0.09270868247161855,0.19348102422546215,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.16666666666666666,0.09687499999999999,0.03125,0.17817708333333326,0.609375,0.453125,0.765625,0.5547619047619047,0.4151785714285714,0.6979296875,0.9578125,0.9046093749999999,1.0,0.1875,0.0625,0.3125,180996333.566909,8323387.716366155,502196859.53677994,1.0016281249999999,0.886230234375,1.1117439843749999
dense_retrieval_window,real_method,1024,32,0.09820803693086302,0.05006277677133656,0.15600528754910548,0.18719499899829684,0.13011727249288163,0.24723161402615185,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.134375,0.05208333333333333,0.23231770833333332,0.625,0.46875,0.78125,0.5727678571428572,0.42167782738095233,0.7156436011904761,0.7770833333333333,0.6415624999999999,0.8958333333333333,0.21875,0.09375,0.375,87534977.17025518,2133188.585788953,251976418.00947648,0.46616562500000003,0.400259296875,0.547307421875
dense_retrieval_window,real_method,128,32,0.019880645077179807,0.007663754497809762,0.03609130553817272,0.04757567799847212,0.02065724372135218,0.08131045386904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06380208333333333,0.0,0.1524414062499999,0.203125,0.078125,0.34375,0.1,0.0233984375,0.19691406249999996,0.6104166666666666,0.459375,0.765625,0.03125,0.0,0.09375,679935515.2576243,8141243.785236983,1905117675.8063061,0.39766874999999996,0.33514921875000003,0.4815815625
dense_retrieval_window,real_method,2048,32,0.10149878249134542,0.05483098739829646,0.15926099531943713,0.18776559681737026,0.13140674806775351,0.2533718034127073,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.134375,0.05208333333333333,0.23231770833333332,0.6290322580645161,0.46774193548387094,0.7741935483870968,0.6508928571428572,0.49977306547619044,0.7885546875,0.825,0.6979166666666666,0.9270833333333333,0.25,0.09375,0.40625,541875039.3080107,919446.1286728722,1621688897.305317,0.5994937499999999,0.5249603906250001,0.6867624218749999
dense_retrieval_window,real_method,256,32,0.045983278649182543,0.015216230026012634,0.08661672649480141,0.07830491878464907,0.03979856154729829,0.12391256666900893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.10416666666666666,0.1875,0.0625,0.34375,0.146875,0.0453125,0.28125,0.6104166666666666,0.459375,0.765625,0.0625,0.0,0.15625,2509760760.365117,8707050.177164862,7484957753.187385,0.5783125,0.424955703125,0.73784359375
dense_retrieval_window,real_method,4096,32,0.10031205508179192,0.05486526560950903,0.15449136234498076,0.1821891612227457,0.12584446551309744,0.24254608872811073,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.13749999999999998,0.05513020833333333,0.240625,0.6290322580645161,0.4838709677419355,0.7903225806451613,0.6717261904761904,0.5216276041666666,0.8046968005952381,0.8416666666666667,0.7186979166666667,0.9375,0.25,0.09375,0.40625,187784538.06368995,11614430.183983332,519262322.6485591,0.8381562499999999,0.758839140625,0.930318828125
