request_id,sample_id,condition,repetition,model,backend,task_type,transport,connection_mode,negotiated_http_version,completed,http_status,finish_reason,elapsed_seconds,input_tokens,output_tokens,token_f1,rouge_l,packets_total,bytes_total,packets_client_to_server,bytes_client_to_server,tcp_payload_bytes_client_to_server,packets_server_to_client,bytes_server_to_client,tcp_payload_bytes_server_to_client,tcp_retransmissions,udp_payload_bytes_client_to_server,udp_payload_bytes_server_to_client,quic_packets,tls_records,observed_tls_versions,observed_alpn,observed_tls_handshake_versions,observed_tls_supported_versions,workload,network_condition
conv-26::52::longllmlingua_2x,conv-26::52,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,2.734355,13993,19,0.0,0.14285714285714288,88,57630,62,50719,0,26,6911,0,0,48115,5819,88,0,,,,,qa,baseline_loopback
conv-26::52::longllmlingua_4x,conv-26::52,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,1.656755,7508,19,0.0,0.14285714285714288,66,33771,42,27011,0,24,6760,0,0,25247,5752,66,0,,,,,qa,baseline_loopback
conv-26::52::no_compression,conv-26::52,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,6.421958,33258,25,0.2,0.2,159,124425,118,115010,0,41,9415,0,0,110054,7693,159,0,,,,,qa,baseline_loopback
conv-26::55::longllmlingua_2x,conv-26::55,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,2.338461,13565,4,0.0,0.25,54,51063,45,48851,0,9,2212,0,0,46961,1834,54,0,,,,,qa,baseline_loopback
conv-26::55::longllmlingua_4x,conv-26::55,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,1.942084,7783,28,0.19047619047619044,0.36363636363636365,93,45363,53,29868,0,40,15495,0,0,27642,13815,93,0,,,,,qa,baseline_loopback
conv-26::55::no_compression,conv-26::55,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,6.046077,33262,4,0.0,0.25,117,116554,98,113583,0,19,2971,0,0,109467,2173,117,0,,,,,qa,baseline_loopback
conv-26::62::longllmlingua_2x,conv-26::62,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,2.498202,13347,14,0.28571428571428575,0.28571428571428575,76,54161,55,48760,0,21,5401,0,0,46450,4519,76,0,,,,,qa,baseline_loopback
conv-26::62::longllmlingua_4x,conv-26::62,longllmlingua_4x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,1.5829,7779,14,0.28571428571428575,0.28571428571428575,56,33235,38,28046,0,18,5189,0,0,26450,4433,56,0,,,,,qa,baseline_loopback
conv-26::62::no_compression,conv-26::62,no_compression,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,6.096766,33262,11,0.0,0.36363636363636365,128,119060,105,114182,0,23,4878,0,0,109772,3912,128,0,,,,,qa,baseline_loopback
conv-26::66::longllmlingua_2x,conv-26::66,longllmlingua_2x,1,Qwen/Qwen3.5-9B,local_vllm,qa,http3,warm,3,True,200,stop,3.227168,13955,37,0.17647058823529413,0.16666666666666663,125,66432,82,54056,0,43,12376,0,0,50612,10570,125,0,,,,,qa,baseline_loopback
