workload,transport,condition,upload_kib,download_kib,output_share
qa,tls13,no_compression,142.828125,6.91552734375,0.04618244069454634
qa,tls13,longllmlingua_2x,52.68017578125,6.96533203125,0.11677882017780834
qa,tls13,longllmlingua_4x,32.37744140625,7.1728515625,0.18136026370695935
qa,http3,no_compression,150.00244140625,5.216796875,0.03360921579545061
qa,http3,longllmlingua_2x,54.576171875,4.94775390625,0.08312210327714203
qa,http3,longllmlingua_4x,33.19580078125,5.748046875,0.14759832992715374
summary,tls13,no_compression,155.61474609375,221.77001953125,0.5876496343565141
summary,tls13,longllmlingua_2x,97.7431640625,246.0849609375,0.7157208588957055
summary,tls13,longllmlingua_4x,79.3388671875,248.6416015625,0.7580988054261997
summary,http3,no_compression,165.40185546875,215.22509765625,0.5654489149788845
summary,http3,longllmlingua_2x,104.75634765625,237.70361328125,0.6941062909384366
summary,http3,longllmlingua_4x,85.640625,238.03564453125,0.7354127161560985
