workload,workload_code,transport,transport_code,condition,condition_code,metric,n,median,q1,q3,ci_low,ci_high
qa,0,tls13,0,no_compression,0,elapsed_seconds,16,8.638387,6.32899425,9.2777495,6.416684,9.249053
qa,0,tls13,0,no_compression,0,input_tokens,16,45752.0,33262.0,47453.75,33262.0,47193.0
qa,0,tls13,0,no_compression,0,output_tokens,16,12.0,8.5,14.75,9.0,14.0
qa,0,tls13,0,no_compression,0,packets_total,16,57.0,52.0,60.25,53.0,59.0
qa,0,tls13,0,no_compression,0,bytes_total,16,151406.5,119798.5,157511.0,118866.0,156896.0
qa,0,tls13,0,no_compression,0,bytes_client_to_server,16,146256.0,109665.75,149943.25,109892.0,149823.0
qa,0,tls13,0,no_compression,0,bytes_server_to_client,16,7081.5,6035.0,7900.75,6197.0,7841.5
qa,0,tls13,0,longllmlingua_2x,1,elapsed_seconds,16,3.4340960000000003,2.67200775,3.8532427499999997,2.728641,3.850775
qa,0,tls13,0,longllmlingua_2x,1,input_tokens,16,18568.0,13857.5,21378.25,13779.0,21347.0
qa,0,tls13,0,longllmlingua_2x,1,output_tokens,16,12.5,10.5,17.5,10.5,17.0
qa,0,tls13,0,longllmlingua_2x,1,packets_total,16,54.0,49.0,64.0,49.0,64.0
qa,0,tls13,0,longllmlingua_2x,1,bytes_total,16,63671.5,57289.5,75575.25,58136.0,74724.0
qa,0,tls13,0,longllmlingua_2x,1,bytes_client_to_server,16,53944.5,48584.5,69762.5,49002.0,69706.0
qa,0,tls13,0,longllmlingua_2x,1,bytes_server_to_client,16,7132.5,6471.25,8748.5,6511.6875,8629.0
qa,0,tls13,0,longllmlingua_4x,2,elapsed_seconds,16,1.9522825,1.6611464999999999,2.034339,1.662307,2.008276
qa,0,tls13,0,longllmlingua_4x,2,input_tokens,16,9649.5,7711.25,10170.25,7779.0,10126.0
qa,0,tls13,0,longllmlingua_4x,2,output_tokens,16,13.5,12.0,20.25,12.0,20.0
qa,0,tls13,0,longllmlingua_4x,2,packets_total,16,52.0,50.0,64.25,50.0,64.0
qa,0,tls13,0,longllmlingua_4x,2,bytes_total,16,42129.0,36300.25,43060.75,36512.0,42984.0
