workload,workload_code,transport,transport_code,condition,condition_code,sample_id,input_tokens,upload_kib,download_kib,total_kib,latency_seconds
qa,0,tls13,0,longllmlingua_2x,1,conv-26::52,13993.0,47.853515625,8.919921875,56.7734375,2.728641
qa,0,tls13,0,longllmlingua_4x,2,conv-26::52,7508.0,25.9755859375,8.853515625,34.8291015625,1.662307
qa,0,tls13,0,no_compression,0,conv-26::52,33258.0,107.31640625,10.9931640625,118.3095703125,6.416684
qa,0,tls13,0,longllmlingua_2x,1,conv-26::55,13565.0,46.22265625,4.20703125,50.4296875,2.327027
qa,0,tls13,0,longllmlingua_4x,2,conv-26::55,7783.0,27.8974609375,9.896484375,37.7939453125,1.957713
qa,0,tls13,0,no_compression,0,conv-26::55,33262.0,105.9765625,4.4013671875,110.3779296875,6.041939
qa,0,tls13,0,longllmlingua_2x,1,conv-26::62,13347.0,46.111328125,7.35546875,53.466796875,2.502108
qa,0,tls13,0,longllmlingua_4x,2,conv-26::62,7779.0,26.9892578125,7.2890625,34.2783203125,1.58212
qa,0,tls13,0,no_compression,0,conv-26::62,33262.0,106.4326171875,6.6015625,113.0341796875,6.065925
qa,0,tls13,0,longllmlingua_2x,1,conv-26::66,13955.0,50.8251953125,14.6083984375,65.43359375,3.219429
qa,0,tls13,0,longllmlingua_4x,2,conv-26::66,7378.0,28.6376953125,13.2890625,41.9267578125,2.001414
qa,0,tls13,0,no_compression,0,conv-26::66,33265.0,107.490234375,11.6357421875,119.1259765625,6.652248
qa,0,tls13,0,longllmlingua_2x,1,conv-30::27,10872.0,37.5615234375,8.8935546875,46.455078125,2.247563
qa,0,tls13,0,longllmlingua_4x,2,conv-30::27,5946.0,20.8408203125,8.826171875,29.6669921875,1.427256
qa,0,tls13,0,no_compression,0,conv-30::27,25419.0,80.0830078125,8.3916015625,88.474609375,4.828589
qa,0,tls13,0,longllmlingua_2x,1,conv-30::77,10873.0,37.220703125,7.064453125,44.28515625,2.094264
qa,0,tls13,0,longllmlingua_4x,2,conv-30::77,5814.0,20.7177734375,6.998046875,27.7158203125,1.26281
qa,0,tls13,0,no_compression,0,conv-30::77,25419.0,79.8974609375,7.490234375,87.3876953125,4.746789
qa,0,tls13,0,longllmlingua_2x,1,conv-41::53,21965.0,72.15234375,7.16796875,79.3203125,3.992776
qa,0,tls13,0,longllmlingua_4x,2,conv-41::53,10538.0,36.8525390625,7.0400390625,43.892578125,2.008276
qa,0,tls13,0,no_compression,0,conv-41::53,48788.0,155.9677734375,6.9873046875,162.955078125,9.363839
qa,0,tls13,0,longllmlingua_2x,1,conv-42::67,21082.0,54.4697265625,6.798828125,61.2685546875,3.787592
qa,0,tls13,0,longllmlingua_4x,2,conv-42::67,11514.0,36.994140625,4.982421875,41.9765625,2.438056
qa,0,tls13,0,no_compression,0,conv-42::67,55634.0,150.2021484375,5.4189453125,155.62109375,10.7936
qa,0,tls13,0,longllmlingua_2x,1,conv-44::98,23111.0,57.232421875,5.857421875,63.08984375,4.174006
qa,0,tls13,0,longllmlingua_4x,2,conv-44::98,10627.0,33.068359375,9.2080078125,42.2763671875,2.250446
qa,0,tls13,0,no_compression,0,conv-44::98,59428.0,166.89453125,6.0517578125,172.9462890625,12.014795
qa,0,tls13,0,longllmlingua_2x,1,conv-47::150,21939.0,69.828125,8.4267578125,78.2548828125,4.173841
qa,0,tls13,0,longllmlingua_4x,2,conv-47::150,10303.0,35.1337890625,6.71484375,41.8486328125,2.001195
qa,0,tls13,0,no_compression,0,conv-47::150,47193.0,146.3115234375,6.9072265625,153.21875,9.249053
qa,0,tls13,0,longllmlingua_2x,1,conv-48::175,16530.0,49.9443359375,9.54296875,59.4873046875,3.226707
qa,0,tls13,0,longllmlingua_4x,2,conv-48::175,10051.0,31.6865234375,9.478515625,41.1650390625,2.112528
qa,0,tls13,0,no_compression,0,conv-48::175,48236.0,146.78125,10.0517578125,156.8330078125,9.479245
qa,0,tls13,0,longllmlingua_2x,1,conv-49::105,15437.0,50.890625,6.4736328125,57.3642578125,2.850762
qa,0,tls13,0,longllmlingua_4x,2,conv-49::105,8407.0,29.3154296875,6.3408203125,35.65625,1.657665
qa,0,tls13,0,no_compression,0,conv-49::105,37386.0,115.892578125,6.6015625,122.494140625,7.069384
qa,0,tls13,0,longllmlingua_2x,1,conv-50::135,20869.0,67.69140625,5.28125,72.97265625,3.647083
qa,0,tls13,0,longllmlingua_4x,2,conv-50::135,9517.0,34.322265625,12.0224609375,46.3447265625,2.241287
qa,0,tls13,0,no_compression,0,conv-50::135,45757.0,142.9111328125,5.3447265625,148.255859375,8.567271
qa,0,tls13,0,longllmlingua_2x,1,conv-50::4,21347.0,69.435546875,6.8623046875,76.2978515625,3.850775
qa,0,tls13,0,longllmlingua_4x,2,conv-50::4,9937.0,34.38671875,6.7314453125,41.1181640625,1.878877
qa,0,tls13,0,no_compression,0,conv-50::4,45753.0,143.212890625,6.923828125,150.13671875,8.721697
qa,0,tls13,0,longllmlingua_2x,1,conv-50::55,21472.0,70.4970703125,6.8662109375,77.36328125,3.860646
qa,0,tls13,0,longllmlingua_4x,2,conv-50::55,10126.0,35.8056640625,7.056640625,42.8623046875,1.946852
qa,0,tls13,0,no_compression,0,conv-50::55,45756.0,143.2314453125,6.9296875,150.1611328125,8.709503
qa,0,tls13,0,longllmlingua_2x,1,conv-50::85,20606.0,66.708984375,4.6513671875,71.3603515625,3.641485
qa,0,tls13,0,longllmlingua_4x,2,conv-50::85,9782.0,33.9462890625,4.5205078125,38.466796875,1.721757
qa,0,tls13,0,no_compression,0,conv-50::85,45751.0,142.7451171875,4.71484375,147.4599609375,8.735116
