workload,workload_code,transport,transport_code,condition,condition_code,sample_id,input_tokens,upload_kib,download_kib,total_kib,latency_seconds
summary,1,tls13,0,longllmlingua_2x,1,conv-26::event_summary::Caroline,13330.0,97.25390625,249.69921875,346.953125,21.350398
summary,1,tls13,0,longllmlingua_4x,2,conv-26::event_summary::Caroline,7845.0,88.150390625,297.1416015625,385.2919921875,23.871081
summary,1,tls13,0,no_compression,0,conv-26::event_summary::Caroline,33270.0,148.1201171875,209.4853515625,357.60546875,22.373826
summary,1,tls13,0,longllmlingua_2x,1,conv-26::event_summary::Melanie,12784.0,87.5498046875,213.94921875,301.4990234375,18.491229
summary,1,tls13,0,longllmlingua_4x,2,conv-26::event_summary::Melanie,7591.0,72.8330078125,234.4833984375,307.31640625,19.120771
summary,1,tls13,0,no_compression,0,conv-26::event_summary::Melanie,33270.0,141.673828125,177.51953125,319.193359375,19.873614
summary,1,tls13,0,longllmlingua_2x,1,conv-30::event_summary::Gina,10319.0,65.6064453125,151.291015625,216.8974609375,13.177277
summary,1,tls13,0,longllmlingua_4x,2,conv-30::event_summary::Gina,5851.0,37.6083984375,87.9423828125,125.55078125,7.455097
summary,1,tls13,0,no_compression,0,conv-30::event_summary::Gina,25425.0,98.423828125,96.8935546875,195.3173828125,11.726064
summary,1,tls13,0,longllmlingua_2x,1,conv-30::event_summary::Jon,10192.0,83.6591796875,242.470703125,326.1298828125,20.266957
summary,1,tls13,0,longllmlingua_4x,2,conv-30::event_summary::Jon,5879.0,85.8447265625,323.8681640625,409.712890625,25.631526
summary,1,tls13,0,no_compression,0,conv-30::event_summary::Jon,25425.0,124.7841796875,225.40234375,350.1865234375,22.066066
summary,1,tls13,0,longllmlingua_2x,1,conv-42::event_summary::Nate,22573.0,115.3330078125,323.3037109375,438.63671875,29.090085
summary,1,tls13,0,longllmlingua_4x,2,conv-42::event_summary::Nate,11982.0,50.27734375,115.615234375,165.892578125,10.674862
summary,1,tls13,0,no_compression,0,conv-42::event_summary::Nate,55642.0,206.50390625,279.048828125,485.552734375,33.785241
summary,1,tls13,0,longllmlingua_2x,1,conv-43::event_summary::John,23509.0,139.9033203125,308.8115234375,448.71484375,28.241424
summary,1,tls13,0,longllmlingua_4x,2,conv-43::event_summary::John,10542.0,104.62890625,324.1591796875,428.7880859375,26.702696
summary,1,tls13,0,no_compression,0,conv-43::event_summary::John,50839.0,224.9638671875,324.2138671875,549.177734375,36.525829
summary,1,tls13,0,longllmlingua_2x,1,conv-44::event_summary::Audrey,21632.0,124.421875,323.9736328125,448.3955078125,28.996227
summary,1,tls13,0,longllmlingua_4x,2,conv-44::event_summary::Audrey,12886.0,90.8857421875,262.7998046875,353.685546875,22.388515
summary,1,tls13,0,no_compression,0,conv-44::event_summary::Audrey,59433.0,210.626953125,218.1376953125,428.7646484375,29.99178
summary,1,tls13,0,longllmlingua_2x,1,conv-49::event_summary::Evan,15079.0,98.232421875,240.0908203125,338.3232421875,21.11431
summary,1,tls13,0,longllmlingua_4x,2,conv-49::event_summary::Evan,8055.0,65.7421875,187.1728515625,252.9150390625,15.483531
summary,1,tls13,0,no_compression,0,conv-49::event_summary::Evan,37383.0,163.109375,235.5908203125,398.7001953125,25.705792
