workload,transport,condition,ratio,ecdf
qa,tls13,longllmlingua_2x,0.36479443468833467,0.0625
qa,tls13,longllmlingua_2x,0.37930347391296226,0.125
qa,tls13,longllmlingua_2x,0.3937034062099952,0.1875
qa,tls13,longllmlingua_2x,0.4568819839507374,0.25
qa,tls13,longllmlingua_2x,0.46830205526412294,0.3125
qa,tls13,longllmlingua_2x,0.47301441938019995,0.375
qa,tls13,longllmlingua_2x,0.47987189328842994,0.4375
qa,tls13,longllmlingua_2x,0.48393035715468313,0.5
qa,tls13,longllmlingua_2x,0.4867618328479139,0.5625
qa,tls13,longllmlingua_2x,0.4922075697893475,0.625
qa,tls13,longllmlingua_2x,0.506766497178298,0.6875
qa,tls13,longllmlingua_2x,0.5081891505138546,0.75
qa,tls13,longllmlingua_2x,0.5107395982051806,0.8125
qa,tls13,longllmlingua_2x,0.5152017689331122,0.875
qa,tls13,longllmlingua_2x,0.5250667785160821,0.9375
qa,tls13,longllmlingua_2x,0.549280649260155,1.0
qa,tls13,longllmlingua_4x,0.24444795789877863,0.0625
qa,tls13,longllmlingua_4x,0.26086265471956765,0.125
qa,tls13,longllmlingua_4x,0.26247688312982187,0.1875
qa,tls13,longllmlingua_4x,0.2693538527920607,0.25
qa,tls13,longllmlingua_4x,0.26973568613670024,0.3125
qa,tls13,longllmlingua_4x,0.27312997144605344,0.375
qa,tls13,longllmlingua_4x,0.2738714713152075,0.4375
qa,tls13,longllmlingua_4x,0.28544207069229016,0.5
qa,tls13,longllmlingua_4x,0.2910853516590398,0.5625
qa,tls13,longllmlingua_4x,0.2943895533599122,0.625
qa,tls13,longllmlingua_4x,0.3032562399025461,0.6875
qa,tls13,longllmlingua_4x,0.3125996284927609,0.75
qa,tls13,longllmlingua_4x,0.31715930044141477,0.8125
qa,tls13,longllmlingua_4x,0.33531645290183004,0.875
qa,tls13,longllmlingua_4x,0.3424049121006485,0.9375
qa,tls13,longllmlingua_4x,0.3519531089888101,1.0
qa,http3,longllmlingua_2x,0.3518580715059588,0.0625
qa,http3,longllmlingua_2x,0.36284119590175234,0.125
qa,http3,longllmlingua_2x,0.3784870904423977,0.1875
qa,http3,longllmlingua_2x,0.4381059423100022,0.25
qa,http3,longllmlingua_2x,0.45084216466077653,0.3125
qa,http3,longllmlingua_2x,0.4549050898706535,0.375
qa,http3,longllmlingua_2x,0.463170584689572,0.4375
qa,http3,longllmlingua_2x,0.4713205869275233,0.5
qa,http3,longllmlingua_2x,0.4739009325420855,0.5625
qa,http3,longllmlingua_2x,0.47665574722437876,0.625
